"id";"job_title";"job_salary";"job_requirement";"job_addr";"job_exp";"job_edu";"job_tags";"company_name";"company_employee_num";"company_type"
114;"python兼职/全职讲师";"15K-30K";"1、至少3年以上Python编程经验；";"深圳 南山区 大冲";"3-5年";"不限";"Linux";"泽林信息";"100-499人";"在线教育"
115;"Python/C++金融软件开发工程师";"10K-15K";"职位描述：";"深圳 南山区 科技园";"3-5年";"本科";"C/C++";"米佳乐传媒";"20-99人";"音乐/视频/阅读"
116;"Python开发工程师";"9K-10K";"1.至少2年以上云计算开发经验，熟悉C或python语言经验者优先";"深圳 南山区";"1-3年";"大专";"Python";"同方鼎欣公司";"1000-9999人";"计算机软件"
117;"Python开发";"8K-13K";"岗位要求：";"深圳 南山区 大冲";"1-3年";"本科";"C/C++";"亿达信息";"1000-9999人";"计算机软件"
118;"Python 高级资深后台开发工程师";"25K-30K";"岗位职责：";"深圳 南山区 深圳湾";"5-10年";"本科";"后端开发";"Ricequant";"20-99人";"计算机软件"
119;"Python工程师";"12K-16K";"岗位职责：";"深圳 南山区 大冲";"3-5年";"大专";"Python";"欢雀科技";"100-499人";"互联网"
120;"python后台工程师";"8K-12K";"工作范围";"深圳 南山区";"经验不限";"本科";"Python";"新格";"0-20人";"数据服务"
121;"Python开发";"6K-12K";"岗位要求：";"深圳 福田区 车公庙";"应届生";"本科";"Python";"Topkee Media";"100-499人";"互联网"
122;"python工程师";"10K-20K";"工作职责";"深圳 龙华区 龙华";"1-3年";"本科";"Python";"信和巴巴";"20-99人";"互联网金融"
123;"python工程师";"10K-20K";"岗位职责：";"深圳 南山区 科技园";"1-3年";"本科";"Python";"Webot";"20-99人";"企业服务"
124;"python开发工程师";"12K-15K";"开发/测试基础、经验：";"深圳 南山区 深圳湾";"3-5年";"本科";"Python";"亿达信息";"1000-9999人";"计算机软件"
125;"Python开发工程师";"10K-20K";"岗位职责：";"深圳 南山区";"经验不限";"本科";"C/C++";"深信服科技";"1000-9999人";"计算机软件"
126;"高级python";"15K-25K";"1、至少3年以上Python编程经验；";"深圳 南山区 大冲";"3-5年";"不限";"Python";"泽林信息";"100-499人";"在线教育"
127;"中级后端开发工程师(Java/Python)";"12K-16K";"工作职责";"深圳 南山区 后海";"3-5年";"本科";"Java";"华制智能深圳总部";"100-499人";"企业服务"
